"id","user_id","matches","potential_matches","last_matched_at"
"661","1307",0,559,NULL
"653","813",0,547,NULL
"619","1168",0,576,NULL
"685","1089",2,576,"2019-06-27 18:48:21.744428"
"630","1360",0,577,NULL
"677","1170",1,576,"2019-06-27 18:13:06.630251"
"583","751",1,559,"2019-06-27 19:35:23.321529"
"340","911",0,576,NULL
"699","1543",0,577,NULL
"564","1531",1,577,"2019-06-27 18:20:39.08971"
"644","869",6,542,"2019-06-27 19:37:35.910526"
"655","708",0,576,NULL
"670","913",4,576,"2019-06-27 19:07:56.515835"
"696","1611",0,577,NULL
"628","1133",0,576,NULL
"645","1605",1,577,"2019-06-27 18:02:53.519923"
"678","954",1,576,"2019-06-27 18:58:05.516473"
"585","702",4,576,"2019-06-27 19:05:31.733496"
"703","817",2,576,"2019-06-27 19:03:48.268961"
"589","1310",0,576,NULL
"654","1469",0,576,NULL
"576","1166",0,576,NULL
"679","740",0,576,NULL
"649","744",0,576,NULL
"558","1373",0,577,NULL
"706","779",1,576,"2019-06-27 19:07:45.236202"
"600","948",3,576,"2019-06-27 19:28:04.362088"
"577","1045",0,576,NULL
"704","750",4,576,"2019-06-27 19:30:48.041496"
"650","758",0,576,NULL
"778","847",2,576,"2019-06-27 19:28:58.830424"
"195","1452",0,544,NULL
"288","1488",0,576,NULL
"751","1486",1,576,"2019-06-27 18:34:15.544338"
"723","1361",3,535,"2019-06-27 19:19:04.770473"
"752","858",0,576,NULL
"711","1371",0,577,NULL
"841","1327",0,577,NULL
"721","756",4,576,"2019-06-27 19:03:01.667484"
"796","1277",0,576,NULL
"756","942",0,576,NULL
"750","1299",0,576,NULL
"806","1594",2,577,"2019-06-27 19:14:16.876675"
"783","1106",0,576,NULL
"731","1076",2,576,"2019-06-27 19:39:03.010389"
"835","1363",2,577,"2019-06-27 19:32:26.196591"
"788","1092",0,576,NULL
"771","1185",0,576,NULL
"776","1232",1,576,"2019-06-27 18:51:57.109589"
"724","797",3,576,"2019-06-27 19:34:15.13837"
"765","1609",0,577,NULL
"743","1534",0,577,NULL
"774","1460",0,576,NULL
"744","1044",2,576,"2019-06-27 19:28:39.362678"
"590","1162",1,547,"2019-06-27 19:14:45.675173"
"729","1294",0,576,NULL
"790","795",3,576,"2019-06-27 19:25:50.73031"
"769","733",2,576,"2019-06-27 19:47:43.932275"
"857","1564",0,560,NULL
"851","1562",0,577,NULL
"809","800",1,576,"2019-06-27 19:47:23.193454"
"767","850",0,576,NULL
"826","1035",2,576,"2019-06-27 19:03:57.891289"
"716","811",4,541,"2019-06-27 18:59:16.389727"
"812","854",4,548,"2019-06-27 19:46:54.174558"
"805","1392",0,577,NULL
"759","1249",0,576,NULL
"822","1050",2,576,"2019-06-27 18:56:23.406082"
"837","1347",4,529,"2019-06-27 19:11:05.14151"
"775","1553",0,577,NULL
"712","1480",1,576,"2019-06-27 18:56:55.387191"
"713","1483",24,576,"2019-06-27 19:47:54.366571"
"791","1415",3,553,"2019-06-27 18:39:02.306852"
"730","1224",0,576,NULL
"843","871",3,576,"2019-06-27 19:28:39.362678"
"785","1379",0,577,NULL
"863","1118",1,576,"2019-06-27 19:27:42.569125"
"782","991",9,576,"2019-06-27 19:23:11.089882"
"823","1200",1,576,"2019-06-27 19:18:23.918269"
"859","1192",8,576,"2019-06-27 19:45:44.240329"
"861","1255",3,576,"2019-06-27 19:04:16.21374"
"824","933",0,576,NULL
"828","1190",1,576,"2019-06-27 18:17:15.132773"
"833","791",0,576,NULL
"737","901",3,576,"2019-06-27 19:27:24.326857"
"780","1130",2,526,"2019-06-27 19:15:55.90742"
"862","1687",2,577,"2019-06-27 19:47:33.003376"
"777","1174",0,576,NULL
"816","944",0,576,NULL
"754","1244",0,576,NULL
"763","1366",0,577,NULL
"844","1105",15,605,"2019-06-27 19:43:09.362789"
"761","1527",0,577,NULL
"839","1296",0,576,NULL
"827","1645",3,560,"2019-06-27 19:42:50.935314"
"810","1010",0,534,NULL
"709","1119",1,576,"2019-06-27 19:18:51.654824"
"860","1383",1,577,"2019-06-27 18:02:06.465943"
"736","742",1,576,"2019-06-27 19:22:14.483001"
"808","917",1,576,"2019-06-27 19:05:12.451525"
"854","1037",1,576,"2019-06-27 19:18:06.300731"
"864","1688",0,577,NULL
"378","965",0,576,NULL
"802","1137",4,576,"2019-06-27 19:08:54.838547"
"849","1333",1,577,"2019-06-27 18:02:53.519923"
"734","1247",1,576,"2019-06-27 19:31:36.108038"
"813","1163",8,576,"2019-06-27 19:43:56.255478"
"719","1390",0,535,NULL
"772","1404",0,577,NULL
"829","1349",3,577,"2019-06-27 19:43:17.696852"
"804","904",2,576,"2019-06-27 19:35:36.768607"
"197","1615",0,562,NULL
"893","844",6,576,"2019-06-27 19:16:59.480281"
"388","1389",1,560,"2019-06-27 19:44:19.849508"
"885","874",12,576,"2019-06-27 19:40:39.902479"
"858","1400",1,577,"2019-06-27 18:12:47.392956"
"363","1341",1,577,"2019-06-27 18:12:57.743851"
"882","1257",15,576,"2019-06-27 19:47:12.837788"
"349","1304",0,576,NULL
"174","1423",1,577,"2019-06-27 19:10:36.147742"
"605","1446",2,576,"2019-06-27 18:21:52.876371"
"544","1478",1,576,"2019-06-27 18:32:17.105242"
"580","1075",10,576,"2019-06-27 19:23:42.379681"
"502","1094",0,556,NULL
"880","1635",5,577,"2019-06-27 19:45:03.693902"
"878","940",15,576,"2019-06-27 19:47:03.267644"
"304","1481",0,576,NULL
"884","1451",4,576,"2019-06-27 19:17:10.883745"
"889","1201",1,576,"2019-06-27 19:37:11.214076"
"546","1541",4,577,"2019-06-27 19:33:46.568423"
"332","1367",0,577,NULL
"883","1618",24,577,"2019-06-27 19:39:52.280088"
"353","1290",8,576,"2019-06-27 19:41:06.395062"
"190","1268",0,576,NULL
"888","833",28,559,"2019-06-27 19:48:40.322315"
"173","1647",0,577,NULL
"180","1306",0,577,NULL
"516","1136",1,559,"2019-06-27 18:37:21.595799"
"91","1123",0,577,NULL
"766","768",3,576,"2019-06-27 19:42:11.720596"
"504","743",0,576,NULL
"597","763",0,576,NULL
"717","1520",0,577,NULL
"739","1143",0,576,NULL
"533","1376",0,577,NULL
"562","1014",1,576,"2019-06-27 18:42:04.654394"
"549","860",2,576,"2019-06-27 19:16:12.938844"
"351","1394",4,606,"2019-06-27 19:32:10.162335"
"865","827",4,576,"2019-06-27 19:38:18.217616"
"453","810",0,576,NULL
"471","761",0,576,NULL
"646","872",0,576,NULL
"801","1510",0,577,NULL
"821","1425",0,577,NULL
"895","1628",19,577,"2019-06-27 19:40:03.271463"
"871","1265",5,576,"2019-06-27 19:37:54.087824"
"345","1179",2,576,"2019-06-27 19:03:29.392008"
"856","1276",6,539,"2019-06-27 19:46:54.174558"
"285","1547",0,577,NULL
"648","1215",0,576,NULL
"852","834",5,576,"2019-06-27 19:07:45.236202"
"868","1551",0,577,NULL
"875","1357",6,577,"2019-06-27 19:27:16.356572"
"874","1686",0,577,NULL
