"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"900","1672","0_20",1,0,"{""source"":[]}","{""tribes"":[[750,1672,835]],""tribes_score"":[530.0993452182811],""highlights_count"":[103],""times"":[1.8599999999999999],""penalties"":[-10.0]}","1.86"
"274","835","10_20",2,0,"{""source"":[]}","{""tribes"":[[712,1219,835],[750,835,1349]],""tribes_score"":[477.9161122061534,519.0359824926696],""highlights_count"":[203,139],""times"":[0.3,1.8599999999999999],""penalties"":[-0.0,0]}","1.86"
"901","1349","10_20",1,0,"{""source"":[]}","{""tribes"":[[750,835,1349]],""tribes_score"":[519.0359824926696],""highlights_count"":[139],""times"":[1.8599999999999999],""penalties"":[-10.0]}","1.86"
"902","1260","1",1,0,"{""source"":[]}","{""tribes"":[[751,1628,1260]],""tribes_score"":[535.9865809335017],""highlights_count"":[91],""times"":[1.89],""penalties"":[0]}","1.89"
"903","1260","11",1,0,"{""source"":[]}","{""tribes"":[[751,1628,1260]],""tribes_score"":[535.9865809335017],""highlights_count"":[91],""times"":[1.89],""penalties"":[0]}","1.89"
"141","1628","21",2,0,"{""source"":[]}","{""tribes"":[[711,1628,1028],[751,1628,1260]],""tribes_score"":[506.97050139976653,535.9865809335017],""highlights_count"":[233,91],""times"":[0.0,1.89],""penalties"":[0,0]}","1.89"
"904","1260","21",1,0,"{""source"":[]}","{""tribes"":[[751,1628,1260]],""tribes_score"":[535.9865809335017],""highlights_count"":[91],""times"":[1.89],""penalties"":[0]}","1.89"
"905","1260","31",1,0,"{""source"":[]}","{""tribes"":[[751,1628,1260]],""tribes_score"":[535.9865809335017],""highlights_count"":[91],""times"":[1.89],""penalties"":[0]}","1.89"
"906","1260","41",1,0,"{""source"":[]}","{""tribes"":[[751,1628,1260]],""tribes_score"":[535.9865809335017],""highlights_count"":[91],""times"":[1.89],""penalties"":[0]}","1.89"
"907","1672","0_5",1,0,"{""source"":[]}","{""tribes"":[[751,1672,731]],""tribes_score"":[532.7622634150395],""highlights_count"":[58],""times"":[1.89],""penalties"":[-2.5]}","1.89"
"908","1260","10_5",1,0,"{""source"":[]}","{""tribes"":[[751,1628,1260]],""tribes_score"":[535.9865809335017],""highlights_count"":[91],""times"":[1.89],""penalties"":[-2.5]}","1.89"
"909","1228","0_20",1,0,"{""source"":[]}","{""tribes"":[[751,1228,1260]],""tribes_score"":[513.7311162760247],""highlights_count"":[70],""times"":[1.89],""penalties"":[-10.0]}","1.89"
"910","1260","0_20",1,0,"{""source"":[]}","{""tribes"":[[751,1228,1260]],""tribes_score"":[513.7311162760247],""highlights_count"":[70],""times"":[1.89],""penalties"":[-10.0]}","1.89"
"911","1228","10_20",1,0,"{""source"":[]}","{""tribes"":[[751,1228,1260]],""tribes_score"":[513.7311162760247],""highlights_count"":[70],""times"":[1.89],""penalties"":[-10.0]}","1.89"
"912","1260","10_20",1,0,"{""source"":[]}","{""tribes"":[[751,1228,1260]],""tribes_score"":[513.7311162760247],""highlights_count"":[70],""times"":[1.89],""penalties"":[-10.0]}","1.89"
"913","1152","1",1,0,"{""source"":[]}","{""tribes"":[[754,1152,1664]],""tribes_score"":[534.0692578993526],""highlights_count"":[133],""times"":[1.92],""penalties"":[0]}","1.92"
"522","1664","1",3,0,"{""source"":[]}","{""tribes"":[[734,1664,1470],[739,1089,1664],[754,1152,1664]],""tribes_score"":[474.2868667625569,395.3711050530897,534.0692578993526],""highlights_count"":[42,48,133],""times"":[0.99,1.47,1.92],""penalties"":[0,""0.52"",""0.55""]}","1.92"
"914","1152","11",1,0,"{""source"":[]}","{""tribes"":[[754,1152,1664]],""tribes_score"":[534.0692578993526],""highlights_count"":[133],""times"":[1.92],""penalties"":[0]}","1.92"
"915","1152","21",1,0,"{""source"":[]}","{""tribes"":[[754,1152,1664]],""tribes_score"":[534.0692578993526],""highlights_count"":[133],""times"":[1.92],""penalties"":[0]}","1.92"
"916","1152","31",1,0,"{""source"":[]}","{""tribes"":[[754,1152,1664]],""tribes_score"":[534.0692578993526],""highlights_count"":[133],""times"":[1.92],""penalties"":[0]}","1.92"
"917","1152","41",1,0,"{""source"":[]}","{""tribes"":[[754,1152,1664]],""tribes_score"":[534.0692578993526],""highlights_count"":[133],""times"":[1.92],""penalties"":[0]}","1.92"
"918","1152","0_5",1,0,"{""source"":[]}","{""tribes"":[[754,1152,1664]],""tribes_score"":[534.0692578993526],""highlights_count"":[133],""times"":[1.92],""penalties"":[-2.5]}","1.92"
"919","1152","10_5",1,0,"{""source"":[]}","{""tribes"":[[754,1152,1664]],""tribes_score"":[534.0692578993526],""highlights_count"":[133],""times"":[1.92],""penalties"":[-2.5]}","1.92"
"406","1664","10_5",2,0,"{""source"":[]}","{""tribes"":[[724,1257,1664],[754,1152,1664]],""tribes_score"":[529.0004365511626,534.0692578993526],""highlights_count"":[60,133],""times"":[0.6599999999999999,1.92],""penalties"":[-0.0,0]}","1.92"
"920","1152","0_20",1,0,"{""source"":[]}","{""tribes"":[[754,1152,749]],""tribes_score"":[527.3603156335048],""highlights_count"":[100],""times"":[1.92],""penalties"":[-10.0]}","1.92"
"921","749","0_20",1,0,"{""source"":[]}","{""tribes"":[[754,1152,749]],""tribes_score"":[527.3603156335048],""highlights_count"":[100],""times"":[1.92],""penalties"":[-10.0]}","1.92"
"922","1152","10_20",1,0,"{""source"":[]}","{""tribes"":[[754,1152,749]],""tribes_score"":[527.3603156335048],""highlights_count"":[100],""times"":[1.92],""penalties"":[-10.0]}","1.92"
"923","749","10_20",1,0,"{""source"":[]}","{""tribes"":[[754,1152,749]],""tribes_score"":[527.3603156335048],""highlights_count"":[100],""times"":[1.92],""penalties"":[-10.0]}","1.92"
"924","892","1",1,0,"{""source"":[]}","{""tribes"":[[756,892,1474]],""tribes_score"":[542.494716966117],""highlights_count"":[98],""times"":[1.95],""penalties"":[0]}","1.95"
"926","892","11",1,0,"{""source"":[]}","{""tribes"":[[756,892,1474]],""tribes_score"":[542.494716966117],""highlights_count"":[98],""times"":[1.95],""penalties"":[0]}","1.95"
"927","1474","11",1,0,"{""source"":[]}","{""tribes"":[[756,892,1474]],""tribes_score"":[542.494716966117],""highlights_count"":[98],""times"":[1.95],""penalties"":[0]}","1.95"
"928","892","21",1,0,"{""source"":[]}","{""tribes"":[[756,892,1474]],""tribes_score"":[542.494716966117],""highlights_count"":[98],""times"":[1.95],""penalties"":[0]}","1.95"
"929","1474","21",1,0,"{""source"":[]}","{""tribes"":[[756,892,1474]],""tribes_score"":[542.494716966117],""highlights_count"":[98],""times"":[1.95],""penalties"":[0]}","1.95"
"582","1549","31",2,0,"{""source"":[]}","{""tribes"":[[791,1549,756],[756,1549,923]],""tribes_score"":[480.47613651023244,529.3112703550842],""highlights_count"":[71,87],""times"":[1.08,1.95],""penalties"":[0,""4.03""]}","1.95"
"930","923","31",1,0,"{""source"":[]}","{""tribes"":[[756,1549,923]],""tribes_score"":[529.3112703550842],""highlights_count"":[87],""times"":[1.95],""penalties"":[0]}","1.95"
"931","1474","41",1,0,"{""source"":[]}","{""tribes"":[[756,1474,1361]],""tribes_score"":[519.5000304060015],""highlights_count"":[103],""times"":[1.95],""penalties"":[0]}","1.95"
"932","1361","41",1,0,"{""source"":[]}","{""tribes"":[[756,1474,1361]],""tribes_score"":[519.5000304060015],""highlights_count"":[103],""times"":[1.95],""penalties"":[0]}","1.95"
"933","892","0_5",1,0,"{""source"":[]}","{""tribes"":[[756,892,1474]],""tribes_score"":[542.494716966117],""highlights_count"":[98],""times"":[1.95],""penalties"":[-2.5]}","1.95"
"935","892","10_5",1,0,"{""source"":[]}","{""tribes"":[[756,892,1474]],""tribes_score"":[542.494716966117],""highlights_count"":[98],""times"":[1.95],""penalties"":[-2.5]}","1.95"
